uptime=0.00 [s], total pulses=2, cpm=(0.00, 0.00) [1/min]
uptime=25.40 [s], total pulses=3, cpm=(0.00, 4.72) [1/min]
uptime=120.90 [s], total pulses=4, cpm=(0.00, 1.49) [1/min]
uptime=147.20 [s], total pulses=5, cpm=(0.00, 1.63) [1/min]
uptime=161.90 [s], total pulses=6, cpm=(0.00, 1.85) [1/min]
uptime=161.90 [s], total pulses=7, cpm=(0.00, 1.85) [1/min]
uptime=193.40 [s], total pulses=8, cpm=(0.00, 2.17) [1/min]
uptime=387.90 [s], total pulses=9, cpm=(0.00, 1.24) [1/min]
uptime=464.10 [s], total pulses=10, cpm=(0.00, 1.16) [1/min]
uptime=464.10 [s], total pulses=11, cpm=(0.00, 1.16) [1/min]
uptime=608.90 [s], total pulses=12, cpm=(0.00, 1.08) [1/min]
uptime=608.90 [s], total pulses=13, cpm=(0.00, 1.08) [1/min]
uptime=645.60 [s], total pulses=14, cpm=(0.00, 1.21) [1/min]
uptime=689.30 [s], total pulses=15, cpm=(0.00, 1.22) [1/min]
uptime=713.20 [s], total pulses=16, cpm=(0.00, 1.26) [1/min]
uptime=731.80 [s], total pulses=17, cpm=(0.00, 1.31) [1/min]
uptime=762.30 [s], total pulses=18, cpm=(0.00, 1.34) [1/min]
uptime=793.50 [s], total pulses=19, cpm=(0.00, 1.36) [1/min]
uptime=793.50 [s], total pulses=20, cpm=(0.00, 1.36) [1/min]
uptime=844.80 [s], total pulses=21, cpm=(0.00, 1.42) [1/min]
uptime=853.20 [s], total pulses=22, cpm=(0.02, 1.55) [1/min]
uptime=952.70 [s], total pulses=23, cpm=(0.00, 1.39) [1/min]
uptime=952.70 [s], total pulses=24, cpm=(0.00, 1.39) [1/min]
uptime=975.20 [s], total pulses=25, cpm=(0.00, 1.48) [1/min]
uptime=975.20 [s], total pulses=26, cpm=(0.00, 1.48) [1/min]
uptime=991.40 [s], total pulses=27, cpm=(0.00, 1.57) [1/min]
uptime=991.40 [s], total pulses=28, cpm=(0.00, 1.57) [1/min]
uptime=1021.80 [s], total pulses=29, cpm=(0.02, 1.70) [1/min]
uptime=1041.80 [s], total pulses=30, cpm=(0.00, 1.67) [1/min]
uptime=1041.80 [s], total pulses=31, cpm=(0.00, 1.67) [1/min]
uptime=1095.10 [s], total pulses=32, cpm=(0.00, 1.70) [1/min]
uptime=1119.40 [s], total pulses=33, cpm=(0.00, 1.72) [1/min]
uptime=1247.30 [s], total pulses=34, cpm=(0.00, 1.59) [1/min]
uptime=1255.30 [s], total pulses=35, cpm=(0.00, 1.63) [1/min]
uptime=1284.70 [s], total pulses=36, cpm=(0.00, 1.63) [1/min]
uptime=1370.40 [s], total pulses=37, cpm=(0.00, 1.58) [1/min]
uptime=1553.10 [s], total pulses=38, cpm=(0.00, 1.43) [1/min]
uptime=1575.40 [s], total pulses=39, cpm=(0.00, 1.45) [1/min]
uptime=1624.60 [s], total pulses=40, cpm=(0.00, 1.44) [1/min]
uptime=1624.60 [s], total pulses=41, cpm=(0.00, 1.44) [1/min]
uptime=1641.00 [s], total pulses=42, cpm=(0.00, 1.50) [1/min]
uptime=1642.40 [s], total pulses=43, cpm=(0.00, 1.53) [1/min]
uptime=1650.90 [s], total pulses=44, cpm=(0.02, 1.60) [1/min]
uptime=1659.90 [s], total pulses=45, cpm=(0.00, 1.59) [1/min]
uptime=1659.90 [s], total pulses=46, cpm=(0.00, 1.59) [1/min]
uptime=1674.20 [s], total pulses=48, cpm=(0.02, 1.68) [1/min]
uptime=1676.00 [s], total pulses=49, cpm=(0.00, 1.72) [1/min]
uptime=1712.50 [s], total pulses=50, cpm=(0.00, 1.72) [1/min]
uptime=1712.50 [s], total pulses=51, cpm=(0.00, 1.72) [1/min]
uptime=1887.00 [s], total pulses=52, cpm=(0.00, 1.62) [1/min]
uptime=1916.90 [s], total pulses=53, cpm=(0.00, 1.63) [1/min]
uptime=2015.50 [s], total pulses=54, cpm=(0.00, 1.58) [1/min]
uptime=2015.60 [s], total pulses=55, cpm=(0.05, 1.64) [1/min]
uptime=2044.70 [s], total pulses=56, cpm=(0.00, 1.61) [1/min]
uptime=2174.80 [s], total pulses=57, cpm=(0.00, 1.54) [1/min]
uptime=2204.50 [s], total pulses=58, cpm=(0.00, 1.55) [1/min]
uptime=2204.50 [s], total pulses=59, cpm=(0.00, 1.55) [1/min]
uptime=2232.00 [s], total pulses=60, cpm=(0.00, 1.59) [1/min]
uptime=2271.70 [s], total pulses=61, cpm=(0.00, 1.58) [1/min]
uptime=2491.50 [s], total pulses=62, cpm=(0.00, 1.47) [1/min]
uptime=2585.80 [s], total pulses=63, cpm=(0.00, 1.44) [1/min]
uptime=2746.40 [s], total pulses=64, cpm=(0.00, 1.38) [1/min]
uptime=2746.40 [s], total pulses=65, cpm=(0.00, 1.38) [1/min]
uptime=2752.60 [s], total pulses=66, cpm=(0.00, 1.42) [1/min]
uptime=2774.70 [s], total pulses=67, cpm=(0.00, 1.43) [1/min]
uptime=2777.60 [s], total pulses=68, cpm=(0.00, 1.45) [1/min]
uptime=2780.70 [s], total pulses=69, cpm=(0.00, 1.47) [1/min]
uptime=2780.70 [s], total pulses=70, cpm=(0.00, 1.47) [1/min]
uptime=2835.20 [s], total pulses=71, cpm=(0.02, 1.50) [1/min]
uptime=2849.60 [s], total pulses=72, cpm=(0.02, 1.52) [1/min]
uptime=2900.70 [s], total pulses=73, cpm=(0.00, 1.49) [1/min]
uptime=2910.40 [s], total pulses=74, cpm=(0.00, 1.50) [1/min]
uptime=3037.80 [s], total pulses=75, cpm=(0.00, 1.46) [1/min]
uptime=3037.80 [s], total pulses=76, cpm=(0.00, 1.46) [1/min]
uptime=3183.50 [s], total pulses=77, cpm=(0.02, 1.45) [1/min]
uptime=3184.30 [s], total pulses=78, cpm=(1.35, 1.45) [1/min]
uptime=3224.50 [s], total pulses=79, cpm=(0.00, 1.45) [1/min]
uptime=3237.60 [s], total pulses=80, cpm=(0.00, 1.46) [1/min]
uptime=3254.90 [s], total pulses=81, cpm=(0.00, 1.47) [1/min]
uptime=3308.30 [s], total pulses=82, cpm=(0.00, 1.47) [1/min]
uptime=3323.00 [s], total pulses=83, cpm=(0.00, 1.48) [1/min]
uptime=3341.60 [s], total pulses=84, cpm=(0.00, 1.49) [1/min]
uptime=3362.60 [s], total pulses=85, cpm=(0.00, 1.50) [1/min]
uptime=3385.70 [s], total pulses=86, cpm=(0.02, 1.52) [1/min]
uptime=3434.80 [s], total pulses=87, cpm=(0.00, 1.50) [1/min]
uptime=3452.00 [s], total pulses=88, cpm=(0.00, 1.51) [1/min]
uptime=3452.00 [s], total pulses=89, cpm=(0.00, 1.51) [1/min]
uptime=3497.10 [s], total pulses=90, cpm=(0.00, 1.53) [1/min]
uptime=3545.80 [s], total pulses=91, cpm=(0.00, 1.52) [1/min]
uptime=3591.00 [s], total pulses=92, cpm=(0.00, 1.52) [1/min]
uptime=3591.00 [s], total pulses=93, cpm=(0.00, 1.52) [1/min]
uptime=3598.40 [s], total pulses=94, cpm=(0.00, 1.55) [1/min]
uptime=3603.10 [s], total pulses=95, cpm=(0.00, 1.57) [1/min]
uptime=3603.50 [s], total pulses=96, cpm=(0.62, 1.58) [1/min]
uptime=3603.50 [s], total pulses=97, cpm=(0.62, 1.58) [1/min]
uptime=3615.60 [s], total pulses=99, cpm=(0.02, 1.63) [1/min]
uptime=3622.70 [s], total pulses=100, cpm=(0.00, 1.64) [1/min]
uptime=3673.30 [s], total pulses=101, cpm=(0.00, 1.63) [1/min]
uptime=3673.30 [s], total pulses=102, cpm=(0.00, 1.63) [1/min]
uptime=3731.50 [s], total pulses=103, cpm=(0.00, 1.64) [1/min]
uptime=3734.50 [s], total pulses=104, cpm=(0.00, 1.65) [1/min]
uptime=3745.70 [s], total pulses=105, cpm=(0.00, 1.67) [1/min]
uptime=3794.50 [s], total pulses=106, cpm=(0.00, 1.66) [1/min]
uptime=3859.40 [s], total pulses=107, cpm=(0.00, 1.65) [1/min]
uptime=3880.10 [s], total pulses=108, cpm=(0.00, 1.65) [1/min]
uptime=3948.10 [s], total pulses=109, cpm=(0.00, 1.64) [1/min]
uptime=3948.10 [s], total pulses=110, cpm=(0.00, 1.64) [1/min]
