uptime=0.00 [s], total pulses=2, cpm=(0.00, 0.00) [1/min]
uptime=13.10 [s], total pulses=3, cpm=(0.00, 9.16) [1/min]
uptime=111.70 [s], total pulses=4, cpm=(0.00, 1.61) [1/min]
uptime=126.60 [s], total pulses=5, cpm=(0.00, 1.90) [1/min]
uptime=180.80 [s], total pulses=6, cpm=(0.02, 1.99) [1/min]
uptime=268.10 [s], total pulses=7, cpm=(0.00, 1.34) [1/min]
uptime=324.60 [s], total pulses=8, cpm=(0.00, 1.29) [1/min]
uptime=324.60 [s], total pulses=9, cpm=(0.00, 1.29) [1/min]
uptime=404.10 [s], total pulses=10, cpm=(0.00, 1.34) [1/min]
uptime=409.60 [s], total pulses=11, cpm=(0.00, 1.46) [1/min]
uptime=523.80 [s], total pulses=12, cpm=(0.00, 1.26) [1/min]
uptime=656.50 [s], total pulses=13, cpm=(0.00, 1.10) [1/min]
uptime=675.20 [s], total pulses=14, cpm=(0.00, 1.16) [1/min]
uptime=696.30 [s], total pulses=15, cpm=(0.02, 1.29) [1/min]
uptime=734.00 [s], total pulses=16, cpm=(0.00, 1.23) [1/min]
uptime=757.10 [s], total pulses=17, cpm=(0.02, 1.35) [1/min]
uptime=781.30 [s], total pulses=18, cpm=(0.00, 1.31) [1/min]
uptime=832.10 [s], total pulses=19, cpm=(0.00, 1.30) [1/min]
uptime=868.70 [s], total pulses=20, cpm=(0.00, 1.31) [1/min]
uptime=898.70 [s], total pulses=21, cpm=(0.00, 1.34) [1/min]
uptime=924.90 [s], total pulses=22, cpm=(0.00, 1.36) [1/min]
uptime=924.90 [s], total pulses=23, cpm=(0.00, 1.36) [1/min]
uptime=934.30 [s], total pulses=24, cpm=(0.00, 1.48) [1/min]
uptime=943.40 [s], total pulses=25, cpm=(0.00, 1.53) [1/min]
uptime=1070.80 [s], total pulses=26, cpm=(0.00, 1.40) [1/min]
uptime=1070.80 [s], total pulses=27, cpm=(0.00, 1.40) [1/min]
uptime=1118.70 [s], total pulses=28, cpm=(0.00, 1.45) [1/min]
uptime=1155.40 [s], total pulses=29, cpm=(0.00, 1.45) [1/min]
uptime=1155.40 [s], total pulses=30, cpm=(0.00, 1.45) [1/min]
uptime=1165.10 [s], total pulses=31, cpm=(0.00, 1.54) [1/min]
uptime=1182.80 [s], total pulses=32, cpm=(0.00, 1.57) [1/min]
uptime=1216.00 [s], total pulses=33, cpm=(0.00, 1.58) [1/min]
uptime=1314.00 [s], total pulses=34, cpm=(0.00, 1.51) [1/min]
uptime=1385.40 [s], total pulses=35, cpm=(0.02, 1.52) [1/min]
uptime=1424.70 [s], total pulses=36, cpm=(0.00, 1.47) [1/min]
uptime=1523.80 [s], total pulses=37, cpm=(0.00, 1.42) [1/min]
uptime=1557.60 [s], total pulses=38, cpm=(0.00, 1.43) [1/min]
uptime=1557.60 [s], total pulses=39, cpm=(0.00, 1.43) [1/min]
uptime=1630.50 [s], total pulses=40, cpm=(0.00, 1.44) [1/min]
uptime=1666.80 [s], total pulses=41, cpm=(0.00, 1.44) [1/min]
uptime=1824.40 [s], total pulses=42, cpm=(0.00, 1.35) [1/min]
uptime=1848.80 [s], total pulses=43, cpm=(0.00, 1.36) [1/min]
uptime=1860.90 [s], total pulses=44, cpm=(0.00, 1.39) [1/min]
uptime=1909.90 [s], total pulses=45, cpm=(0.00, 1.38) [1/min]
uptime=1914.10 [s], total pulses=46, cpm=(0.00, 1.41) [1/min]
uptime=1919.60 [s], total pulses=47, cpm=(0.00, 1.44) [1/min]
uptime=2003.70 [s], total pulses=48, cpm=(0.00, 1.41) [1/min]
uptime=2004.20 [s], total pulses=49, cpm=(0.78, 1.44) [1/min]
uptime=2010.50 [s], total pulses=50, cpm=(0.00, 1.46) [1/min]
uptime=2041.20 [s], total pulses=51, cpm=(0.00, 1.47) [1/min]
uptime=2084.10 [s], total pulses=52, cpm=(0.00, 1.47) [1/min]
uptime=2084.10 [s], total pulses=53, cpm=(0.00, 1.47) [1/min]
uptime=2096.70 [s], total pulses=54, cpm=(0.00, 1.52) [1/min]
uptime=2096.70 [s], total pulses=55, cpm=(0.00, 1.52) [1/min]
uptime=2206.50 [s], total pulses=56, cpm=(0.00, 1.50) [1/min]
uptime=2329.40 [s], total pulses=57, cpm=(0.02, 1.47) [1/min]
uptime=2712.10 [s], total pulses=58, cpm=(0.00, 1.26) [1/min]
uptime=2712.10 [s], total pulses=59, cpm=(0.00, 1.26) [1/min]
uptime=2718.40 [s], total pulses=60, cpm=(0.00, 1.30) [1/min]
uptime=2718.40 [s], total pulses=61, cpm=(0.00, 1.30) [1/min]
uptime=2742.80 [s], total pulses=62, cpm=(0.00, 1.33) [1/min]
uptime=2754.90 [s], total pulses=63, cpm=(0.00, 1.35) [1/min]
uptime=2771.20 [s], total pulses=64, cpm=(0.00, 1.36) [1/min]
uptime=2935.00 [s], total pulses=65, cpm=(0.00, 1.31) [1/min]
uptime=2935.40 [s], total pulses=66, cpm=(0.67, 1.35) [1/min]
uptime=2950.10 [s], total pulses=67, cpm=(0.00, 1.34) [1/min]
uptime=2963.80 [s], total pulses=68, cpm=(0.00, 1.36) [1/min]
uptime=3038.10 [s], total pulses=69, cpm=(0.02, 1.36) [1/min]
uptime=3073.30 [s], total pulses=70, cpm=(0.00, 1.35) [1/min]
uptime=3073.30 [s], total pulses=71, cpm=(0.00, 1.35) [1/min]
uptime=3123.30 [s], total pulses=72, cpm=(0.00, 1.36) [1/min]
uptime=3132.90 [s], total pulses=73, cpm=(0.00, 1.38) [1/min]
uptime=3134.20 [s], total pulses=74, cpm=(0.00, 1.40) [1/min]
uptime=3166.60 [s], total pulses=75, cpm=(0.00, 1.40) [1/min]
uptime=3166.60 [s], total pulses=76, cpm=(0.00, 1.40) [1/min]
uptime=3247.50 [s], total pulses=77, cpm=(0.00, 1.40) [1/min]
uptime=3247.50 [s], total pulses=78, cpm=(0.00, 1.40) [1/min]
uptime=3274.90 [s], total pulses=79, cpm=(0.00, 1.45) [1/min]
uptime=3377.00 [s], total pulses=80, cpm=(0.00, 1.40) [1/min]
uptime=3377.10 [s], total pulses=81, cpm=(0.05, 1.44) [1/min]
uptime=3422.50 [s], total pulses=82, cpm=(0.00, 1.42) [1/min]
uptime=3438.20 [s], total pulses=83, cpm=(0.02, 1.45) [1/min]
uptime=3472.90 [s], total pulses=84, cpm=(0.00, 1.43) [1/min]
uptime=3524.80 [s], total pulses=85, cpm=(0.00, 1.43) [1/min]
uptime=3562.30 [s], total pulses=86, cpm=(0.00, 1.43) [1/min]
uptime=3607.10 [s], total pulses=87, cpm=(0.00, 1.43) [1/min]
uptime=3607.20 [s], total pulses=88, cpm=(0.05, 1.46) [1/min]
uptime=3625.40 [s], total pulses=89, cpm=(0.00, 1.46) [1/min]
uptime=3638.10 [s], total pulses=90, cpm=(0.00, 1.47) [1/min]
uptime=3638.10 [s], total pulses=91, cpm=(0.00, 1.47) [1/min]
uptime=3657.30 [s], total pulses=92, cpm=(0.00, 1.49) [1/min]
uptime=3695.90 [s], total pulses=93, cpm=(0.00, 1.49) [1/min]
uptime=3741.90 [s], total pulses=94, cpm=(0.00, 1.49) [1/min]
uptime=3741.90 [s], total pulses=95, cpm=(0.00, 1.49) [1/min]
uptime=3856.90 [s], total pulses=96, cpm=(0.00, 1.48) [1/min]
uptime=3933.00 [s], total pulses=97, cpm=(0.00, 1.46) [1/min]
uptime=3967.20 [s], total pulses=98, cpm=(0.00, 1.47) [1/min]
uptime=3967.30 [s], total pulses=99, cpm=(0.05, 1.50) [1/min]
uptime=4009.00 [s], total pulses=100, cpm=(0.00, 1.48) [1/min]
uptime=4035.00 [s], total pulses=101, cpm=(0.00, 1.49) [1/min]
uptime=4035.00 [s], total pulses=102, cpm=(0.00, 1.49) [1/min]
uptime=4106.70 [s], total pulses=103, cpm=(0.00, 1.49) [1/min]
uptime=4372.90 [s], total pulses=104, cpm=(0.00, 1.41) [1/min]
uptime=4386.30 [s], total pulses=106, cpm=(0.02, 1.44) [1/min]
uptime=4548.50 [s], total pulses=107, cpm=(0.00, 1.40) [1/min]
uptime=4610.60 [s], total pulses=108, cpm=(0.02, 1.41) [1/min]
uptime=4697.00 [s], total pulses=109, cpm=(0.00, 1.38) [1/min]
uptime=4770.50 [s], total pulses=110, cpm=(0.00, 1.37) [1/min]
uptime=4770.50 [s], total pulses=111, cpm=(0.00, 1.37) [1/min]
uptime=4871.20 [s], total pulses=112, cpm=(0.00, 1.37) [1/min]
uptime=4957.50 [s], total pulses=113, cpm=(0.02, 1.37) [1/min]
uptime=4995.50 [s], total pulses=114, cpm=(0.00, 1.36) [1/min]
uptime=5058.50 [s], total pulses=115, cpm=(0.00, 1.35) [1/min]
uptime=5125.00 [s], total pulses=116, cpm=(0.00, 1.35) [1/min]
uptime=5225.80 [s], total pulses=117, cpm=(0.00, 1.33) [1/min]
uptime=5225.90 [s], total pulses=118, cpm=(0.05, 1.35) [1/min]
uptime=5258.70 [s], total pulses=120, cpm=(0.02, 1.36) [1/min]
uptime=5331.10 [s], total pulses=121, cpm=(0.00, 1.35) [1/min]
uptime=5449.40 [s], total pulses=122, cpm=(0.00, 1.33) [1/min]
uptime=5450.60 [s], total pulses=123, cpm=(0.00, 1.34) [1/min]
uptime=5450.60 [s], total pulses=124, cpm=(0.00, 1.34) [1/min]
uptime=5491.10 [s], total pulses=125, cpm=(0.00, 1.35) [1/min]
uptime=5491.10 [s], total pulses=126, cpm=(0.00, 1.35) [1/min]
uptime=5561.40 [s], total pulses=127, cpm=(0.02, 1.37) [1/min]
uptime=5627.90 [s], total pulses=128, cpm=(0.00, 1.35) [1/min]
uptime=5696.20 [s], total pulses=129, cpm=(0.02, 1.36) [1/min]
uptime=5742.40 [s], total pulses=130, cpm=(0.00, 1.35) [1/min]
uptime=5742.40 [s], total pulses=131, cpm=(0.00, 1.35) [1/min]
uptime=5777.00 [s], total pulses=132, cpm=(0.00, 1.36) [1/min]
uptime=5794.80 [s], total pulses=133, cpm=(0.00, 1.37) [1/min]
uptime=5808.00 [s], total pulses=134, cpm=(0.00, 1.37) [1/min]
uptime=5808.00 [s], total pulses=135, cpm=(0.00, 1.37) [1/min]
uptime=5815.90 [s], total pulses=136, cpm=(0.00, 1.39) [1/min]
uptime=5914.10 [s], total pulses=137, cpm=(0.00, 1.38) [1/min]
uptime=6028.10 [s], total pulses=138, cpm=(0.00, 1.36) [1/min]
uptime=6028.10 [s], total pulses=139, cpm=(0.00, 1.36) [1/min]
uptime=6040.90 [s], total pulses=141, cpm=(0.02, 1.39) [1/min]
uptime=6091.80 [s], total pulses=142, cpm=(0.00, 1.39) [1/min]
uptime=6153.60 [s], total pulses=143, cpm=(0.00, 1.38) [1/min]
uptime=6396.90 [s], total pulses=144, cpm=(0.00, 1.34) [1/min]
uptime=6463.50 [s], total pulses=145, cpm=(0.00, 1.34) [1/min]
uptime=6465.10 [s], total pulses=146, cpm=(0.00, 1.35) [1/min]
uptime=6465.10 [s], total pulses=147, cpm=(0.00, 1.35) [1/min]
uptime=6613.40 [s], total pulses=148, cpm=(0.00, 1.33) [1/min]
uptime=6613.40 [s], total pulses=149, cpm=(0.00, 1.33) [1/min]
uptime=6614.40 [s], total pulses=150, cpm=(3.12, 1.35) [1/min]
uptime=6617.10 [s], total pulses=151, cpm=(0.00, 1.36) [1/min]
uptime=6711.80 [s], total pulses=152, cpm=(0.02, 1.36) [1/min]
uptime=6722.60 [s], total pulses=153, cpm=(0.00, 1.36) [1/min]
uptime=6722.70 [s], total pulses=154, cpm=(0.05, 1.37) [1/min]
uptime=6798.90 [s], total pulses=155, cpm=(0.00, 1.36) [1/min]
uptime=6852.30 [s], total pulses=156, cpm=(0.00, 1.36) [1/min]
uptime=6889.60 [s], total pulses=157, cpm=(0.00, 1.36) [1/min]
uptime=6979.90 [s], total pulses=158, cpm=(0.00, 1.35) [1/min]
uptime=7003.40 [s], total pulses=159, cpm=(0.00, 1.35) [1/min]
uptime=7003.40 [s], total pulses=160, cpm=(0.00, 1.35) [1/min]
uptime=7047.20 [s], total pulses=161, cpm=(0.00, 1.36) [1/min]
uptime=7047.20 [s], total pulses=162, cpm=(0.00, 1.36) [1/min]
uptime=7058.40 [s], total pulses=163, cpm=(0.00, 1.38) [1/min]
uptime=7078.20 [s], total pulses=164, cpm=(0.00, 1.38) [1/min]
uptime=7115.90 [s], total pulses=165, cpm=(0.00, 1.38) [1/min]
uptime=7116.00 [s], total pulses=166, cpm=(0.05, 1.40) [1/min]
uptime=7157.20 [s], total pulses=167, cpm=(0.00, 1.39) [1/min]
uptime=7324.50 [s], total pulses=168, cpm=(0.00, 1.37) [1/min]
uptime=7336.70 [s], total pulses=169, cpm=(0.00, 1.37) [1/min]
uptime=7337.40 [s], total pulses=170, cpm=(1.17, 1.38) [1/min]
uptime=7529.90 [s], total pulses=171, cpm=(0.00, 1.35) [1/min]
uptime=7785.10 [s], total pulses=172, cpm=(0.00, 1.32) [1/min]
uptime=7785.10 [s], total pulses=173, cpm=(0.00, 1.32) [1/min]
uptime=7849.90 [s], total pulses=174, cpm=(0.00, 1.32) [1/min]
uptime=7857.80 [s], total pulses=175, cpm=(0.00, 1.33) [1/min]
uptime=7918.50 [s], total pulses=176, cpm=(0.00, 1.33) [1/min]
uptime=7935.50 [s], total pulses=177, cpm=(0.00, 1.33) [1/min]
uptime=7935.50 [s], total pulses=178, cpm=(0.00, 1.33) [1/min]
uptime=7990.50 [s], total pulses=179, cpm=(0.00, 1.34) [1/min]
uptime=7993.30 [s], total pulses=180, cpm=(0.00, 1.34) [1/min]
uptime=8042.50 [s], total pulses=181, cpm=(0.00, 1.34) [1/min]
uptime=8042.50 [s], total pulses=182, cpm=(0.00, 1.34) [1/min]
uptime=8079.00 [s], total pulses=183, cpm=(0.00, 1.35) [1/min]
uptime=8090.20 [s], total pulses=184, cpm=(0.00, 1.36) [1/min]
uptime=8090.20 [s], total pulses=185, cpm=(0.00, 1.36) [1/min]
uptime=8160.20 [s], total pulses=186, cpm=(0.00, 1.36) [1/min]
uptime=8205.60 [s], total pulses=187, cpm=(0.00, 1.36) [1/min]
uptime=8235.40 [s], total pulses=188, cpm=(0.00, 1.36) [1/min]
uptime=8260.80 [s], total pulses=189, cpm=(0.00, 1.37) [1/min]
uptime=8263.10 [s], total pulses=190, cpm=(0.00, 1.37) [1/min]
uptime=8263.10 [s], total pulses=191, cpm=(0.00, 1.37) [1/min]
uptime=8263.20 [s], total pulses=192, cpm=(0.18, 1.39) [1/min]
uptime=8263.40 [s], total pulses=193, cpm=(1.05, 1.39) [1/min]
